address,area,Sum of avg_order_value,Sum of customer_id,customer_name,customer_segment,email,Sum of phone,Sum of pincode,Year,Quarter,Month,Day,Sum of total_orders
"01
Hayer Chowk
Gopalpur 936167",Rampur,564.03,94404245,Quincy Chauhan,Inactive,kadetamanna@example.com,911392035916,630779,2024,Qtr 2,May,14,5
"01
Om Street
Rohtak 339233",Chandrapur,1603.27,57207678,Yashodhara Mishra,New,urvi08@example.net,919390929345,347833,2024,Qtr 3,August,8,17
"01
Palla, Ahmedabad 612378",Guntakal,1250.28,20469626,Tanish Ghose,Regular,barkhasawhney@example.net,914972485764,304902,2023,Qtr 4,December,26,9
"01, Ramakrishnan Ganj, Bhavnagar-851185",Haldia,915.53,30188374,Naveen Chakrabarti,New,manbir37@example.org,910399858374,400684,2024,Qtr 1,March,28,15
"01/115, Mander Nagar, Morbi-897722",Bathinda,218,48765625,Aradhana Ganguly,Inactive,gaganbanik@example.net,917594183312,352264,2024,Qtr 1,March,13,17
"01/27
Murthy Circle
Ratlam 179286",Patiala,484.51,2188994,Bimala Mitra,Inactive,uarora@example.net,919473010631,635527,2023,Qtr 4,October,26,6
"01/36
Ghosh Circle
Mumbai 440965",Surat,1505.74,89476734,Jackson Rajagopal,Inactive,fganesan@example.com,911504140269,454361,2023,Qtr 3,July,12,18
"01/65
Mander Zila
Loni-418847",Dindigul,1498.83,77161976,Kavya Gupta,Regular,farissuresh@example.com,911868150261,243125,2024,Qtr 3,July,5,8
"01/67
Dara Circle
Orai 934810",Dhanbad,272.63,44723662,Veer Dixit,Regular,theodore63@example.com,911250040727,205626,2023,Qtr 4,October,7,7
"01/71
Shah Nagar
Malda 134603",Udaipur,377.36,72164737,Mugdha Mohan,Premium,sara93@example.org,918089472545,685858,2023,Qtr 3,August,16,6
"01/76
Mani Road
Chittoor-256884",Gandhidham,843.98,9650263,Samar Vasa,New,gpadmanabhan@example.com,910522525268,40161,2023,Qtr 2,April,24,5
"01/760
Natarajan Path
Parbhani-638480",Jaipur,1072.65,98667584,Sara Soman,Premium,salvigeetika@example.com,912270298752,439446,2024,Qtr 4,October,27,8
"01/925, Goda Zila
Ahmedabad-481472",Madurai,1389.96,31576845,Chasmum Raman,New,bimalaanne@example.org,914433885067,6864,2023,Qtr 3,July,7,12
"01/95, Mangat
Tinsukia 747651",Siliguri,1874.34,46185579,Vidhi Pillai,Premium,ishanvi02@example.org,918236993791,88753,2024,Qtr 3,August,18,3
"010
Raju Zila, Sikar 787053",Nagpur,315.86,50781611,Jeremiah Mallick,Regular,battayashasvi@example.com,916250356419,441000,2023,Qtr 2,May,24,16
"011, Kala Street, Bhind 443656",Bongaigaon,1520.12,88215615,Falan Dar,New,pushtitank@example.org,917047453272,542991,2023,Qtr 2,May,16,14
"013
Sarma Circle
Rohtak 943634",Chittoor,1017.23,90144978,Pooja Lad,Regular,kothariyashoda@example.net,914662712497,216756,2024,Qtr 3,July,10,3
"015, Pandey Ganj
Karawal Nagar-700071",Sri Ganganagar,1083.95,33544355,Aarnav Nayak,Premium,oscar01@example.com,915000656642,737494,2023,Qtr 3,August,30,2
"016
Lata Circle
Hubli–Dharwad 127880",Dibrugarh,1689.41,54139038,Wahab Balan,Inactive,anjali90@example.com,915687634653,888729,2024,Qtr 3,September,30,10
"02
Chanda Circle, Kurnool-724694",Kamarhati,1751.47,72089140,Kritika Kalla,Regular,ishanviacharya@example.net,919344431150,462353,2024,Qtr 2,June,4,18
"02
Wable Ganj, Kolkata-072162",Dewas,1547.07,68307253,Rachita Borra,Premium,andrewarora@example.net,911117805975,100051,2024,Qtr 4,October,24,7
"02, Chahal Zila
Thrissur 415323",Pallavaram,445,92038780,Geetika Bansal,Premium,minhasraagini@example.com,919859795150,536778,2023,Qtr 3,August,3,12
"02/047
Patel Road
Dindigul 073010",Ahmednagar,1251.82,23348269,Rudra Dutta,Inactive,janya57@example.com,914824634432,398963,2024,Qtr 1,February,28,9
"02/13
Kalla Zila, Rajahmundry 478484",Ludhiana,1511.43,82585664,Turvi Parmar,Regular,ekanshdevan@example.org,916795181737,678835,2023,Qtr 4,October,30,14
"02/23
Dube Street, Bhagalpur 402715",Hajipur,776.52,1683786,Urvashi Balan,Regular,simonkade@example.org,916376148431,775942,2023,Qtr 3,September,12,14
"02/534
Kale Ganj, Jamnagar-316257",Ahmedabad,802.79,66866026,Vyanjana Nagi,Regular,tellajasmit@example.org,913915253647,410022,2023,Qtr 3,July,5,13
"02/685, Dar Street
Mathura 835017",Jhansi,1208.04,13071673,Ijaya Bir,Regular,tkalla@example.com,919431717406,491822,2024,Qtr 2,April,27,17
"02/758, Garg Zila, Tinsukia-257738",Bhimavaram,1049.1,5226128,Wridesh Mander,New,samakshshere@example.org,911346830780,227013,2024,Qtr 1,March,9,10
"02/85
Nanda Marg
Nizamabad-518067",Loni,1714.99,65963876,Vamakshi Talwar,New,pahalhora@example.net,915571829208,830494,2024,Qtr 2,May,20,13
"02/97, Kanda Path, Mangalore-954268",Thiruvananthapuram,797.28,95594611,Dayita Dass,Regular,vaidyasuhani@example.org,914764637802,280153,2023,Qtr 2,April,9,1
"020, Nagi Road, Jaunpur 764276",Purnia,555.78,93507573,Raksha Prashad,Premium,ntank@example.com,913359636515,88946,2024,Qtr 4,October,23,2
"022, Rana Ganj, Barasat 146414",Kozhikode,1843.51,72760434,Andrew Sibal,Premium,abajaj@example.net,915579856116,330665,2024,Qtr 4,October,7,10
"026, Palla Ganj
Ramgarh 353867",Aligarh,1585.03,84993732,Henry Modi,Regular,sampathyashodhara@example.com,919708270797,170772,2024,Qtr 3,September,17,1
"027, Kala Path, Kollam-055443",Mirzapur,1135.26,16424635,Fitan Kade,Premium,schoudhary@example.net,917981661226,607949,2024,Qtr 4,October,1,13
"029, Aurora Marg
Hospet 337208",Dindigul,617.79,9107360,Anvi Iyer,Inactive,dmane@example.net,914359488204,390035,2024,Qtr 2,April,23,12
"03
Chatterjee
Bhiwandi 307084",Amroha,1830.26,50527764,Sai Garg,Premium,krishna27@example.com,914308258615,957367,2023,Qtr 4,December,28,16
"03
Iyer Nagar
Bhatpara-765591",Thane,745.22,88164280,Saumya Barman,Regular,nakul83@example.com,916048001993,413547,2024,Qtr 3,September,9,11
"03, Mann Circle
Sultan Pur Majra 572115",Surendranagar Dudhrej,1605.51,55425478,Karan Ramachandran,Inactive,jackson54@example.net,916226098653,408102,2024,Qtr 3,July,5,12
"03/06, Jha Chowk, Siliguri-754493",Haldia,1599.26,97185284,Jeevika Nayar,Regular,pallavidhi@example.com,910869135855,888357,2023,Qtr 4,November,7,2
"03/182, Manda Circle
Mangalore 883696",Jamnagar,991.26,50392139,Zehaan Hayer,Inactive,yashoda79@example.net,912943699968,361935,2024,Qtr 3,July,2,16
"03/23
Loyal Circle, Guna-092311",Bhilwara,1428.68,21409946,Ayushman Agrawal,Inactive,vohraurishilla@example.com,919602618984,472226,2024,Qtr 1,March,22,2
"03/249, Pant Zila
Ratlam-647336",Korba,1546.79,66886852,Ubika Chand,Inactive,advay03@example.org,913740585667,953555,2024,Qtr 1,March,24,19
"03/393, Devan Marg
Bhiwani 325747",Motihari,938.8,60210778,Upasna Bhasin,Regular,chandran47@example.org,917719482280,841574,2024,Qtr 2,April,14,4
"03/83
Sankaran Road, Davanagere-746406",Nanded,1596.98,68857118,Hritik Batta,New,horajacob@example.org,918634602154,149991,2024,Qtr 2,June,23,4
"03/85, Morar Marg
Gwalior 529763",Srinagar,1308.38,94552818,Pooja Lalla,Inactive,kritikabarad@example.org,912565783910,862794,2024,Qtr 1,January,14,2
"03/92, Karpe Road, Firozabad-215941",Tumkur,246.73,12302179,Nikita Nagi,Premium,shettyradha@example.com,911629232876,702467,2024,Qtr 1,February,1,15
"03/95, Virk Road
Satna 527580",Dehradun,564.55,81352781,Brinda Bassi,Regular,jminhas@example.net,912401887733,455587,2024,Qtr 1,February,27,4
"03/989, Kari Ganj
Sagar 040726",Jamshedpur,788.35,46629917,Vasudha Dey,Premium,saksham89@example.net,914935172283,139007,2024,Qtr 1,February,9,1
"032, Pandey Chowk, Medininagar-342499",Nandyal,1368.05,16420489,Divya Peri,New,imaran88@example.net,918033199185,543319,2024,Qtr 2,April,1,14
"036, Taneja Nagar, Sonipat-029200",Karnal,836.58,64316806,Yadavi Bhagat,Regular,yahviparsa@example.org,917844043339,930174,2024,Qtr 3,July,7,2
"038
Varty Zila
Berhampore-791959",Danapur,466.33,18229949,William Bora,Inactive,nlata@example.org,918795009128,397135,2023,Qtr 2,April,15,10
"039
Bobal Path, Jalandhar-942451",Gwalior,456.16,8655667,Ayaan Upadhyay,Premium,akapur@example.com,918735041469,479960,2023,Qtr 3,July,16,1
"04, Atwal Nagar, Kanpur 851914",Khammam,1957.35,77214094,Raksha Walla,New,oakkaran@example.org,911246730805,105283,2023,Qtr 3,July,9,6
"04, Barman Street, Bhind 281577",Bhalswa Jahangir Pur,765.4,25795941,Urishilla Dhillon,Regular,ryanbath@example.com,912107939692,311683,2024,Qtr 2,April,14,10
"04, Memon Path, Dindigul-403829",Jammu,1672.37,80954112,Irya Rana,New,lajitasanghvi@example.org,915197325335,296499,2023,Qtr 2,June,6,6
"04/032, Doctor Street
Silchar 214713",Sambalpur,1681.91,73891999,Vinaya Khatri,New,zarnakala@example.org,917708136730,966637,2024,Qtr 3,July,22,11
"04/04, Padmanabhan Street, Hosur 637223",Motihari,1501.01,38615653,Xiti Sachdeva,Regular,hnarang@example.net,913348023005,309098,2024,Qtr 1,March,30,8
"04/08, Comar Street
Hindupur 886323",Surendranagar Dudhrej,282.63,33394166,Dakshesh Lad,New,panditkritika@example.com,911665869983,78491,2024,Qtr 4,October,3,10
"04/18
Maharaj Zila
Pudukkottai 529324",Nandyal,1108.86,27604184,Tripti Nadig,New,tmaster@example.com,918533188202,279361,2023,Qtr 4,October,6,9
"04/26
Narain Street, Meerut-759858",Jamnagar,459.1,28991365,Avi Menon,New,rachitapandey@example.com,917703806581,449419,2024,Qtr 1,March,20,20
"04/496
Kala Street, Ghaziabad-646233",Jabalpur,1030.12,42012717,Edhitha Sahota,Regular,georgesami@example.org,913021236686,831378,2023,Qtr 3,August,18,10
"04/541
Tank Ganj
Solapur-551644",Nashik,1777.35,62526813,Keya Bansal,Inactive,ravelrishi@example.com,913082897907,608018,2024,Qtr 3,August,19,6
"04/69
Sahni Path
Guntakal-870680",Bhimavaram,585.35,77035814,Ishaan Mohanty,Inactive,dev69@example.com,917909626015,250593,2023,Qtr 2,June,3,11
"04/693, Ramanathan Chowk
Faridabad-115332",Ichalkaranji,526.58,87200291,Anya Panchal,Inactive,ngandhi@example.net,912129987003,603624,2024,Qtr 1,February,3,12
"04/775, Dhingra Chowk, Varanasi 384485",Fatehpur,414.15,31324823,Utkarsh Biswas,New,hbarad@example.com,912367516284,277910,2023,Qtr 3,September,16,14
"04/861, Kaul Chowk
Sikar-365292",Mira-Bhayandar,872.25,28428852,Libni Dada,Inactive,pranit07@example.net,916086959184,367282,2023,Qtr 2,April,11,7
"04/919
Vaidya Zila, Bettiah-369312",Jamnagar,1552.42,31156674,Aarav Jaggi,Inactive,golalila@example.net,916561972279,457035,2024,Qtr 2,April,7,3
"045
Nath Circle, Nagpur-291495",Kakinada,465.55,21677923,Lipika Mukhopadhyay,New,masonnayar@example.net,915843023006,247798,2023,Qtr 3,July,18,17
"046
Minhas, Gurgaon 806600",Agartala,750.81,51547198,Kashvi Date,Premium,saksham00@example.org,915490690662,730715,2024,Qtr 3,August,4,19
"05
Kara Street
Bhagalpur-060052",Faridabad,638.86,22358567,Zansi Chakraborty,Inactive,sarthaksuri@example.org,912183034642,410334,2023,Qtr 2,April,2,8
"05
Wable Nagar, Varanasi-387829",Bidar,609.49,29265216,Samuel Buch,New,ethankala@example.com,919408407178,638496,2024,Qtr 2,April,22,3
"05, Buch Street, Faridabad 972146",Mumbai,1209.29,65543312,Logan Pillay,New,krish11@example.com,913496402599,706490,2024,Qtr 3,July,28,4
"05/325, Kade Circle
Belgaum-791134",Chapra,1040.97,56248757,Ekansh Narayan,Premium,qraghavan@example.com,911905283202,14789,2024,Qtr 3,August,5,16
"05/72
Karnik, Bharatpur-728872",Dhanbad,1624.06,90856813,Neha Ramaswamy,Regular,pkeer@example.org,914910223597,498623,2024,Qtr 4,October,5,13
"05/935
Kohli Path, Jabalpur 151623",Pune,1501.23,38969732,Manthan Chana,New,obarad@example.com,910023988005,893205,2024,Qtr 3,September,8,10
"054
Acharya Ganj, Dhanbad 214980",Karaikudi,1473.36,12814732,Janya Soni,Regular,shenoyharita@example.net,917962909548,768626,2023,Qtr 2,May,26,8
"058
Wagle Street, Eluru 310344",Rajahmundry,499.85,45112520,Anamika Hayre,Premium,eeshaganesan@example.net,918560853049,753100,2024,Qtr 2,June,30,1
"059
Narain Marg, Mau 610611",Guwahati,1480.38,21866852,Ojas Morar,Premium,gangulymahika@example.org,916521407154,428400,2023,Qtr 4,November,14,18
"06
Dixit
Bahraich 227315",Latur,629.05,95372766,Hitesh Morar,Regular,ikbalwagle@example.org,913522324064,609032,2024,Qtr 1,January,15,9
"06
Om, Ambarnath 477463",Ichalkaranji,578.14,57102800,Januja Verma,Inactive,atideshpande@example.org,917293526596,730539,2024,Qtr 1,March,22,14
"06, Bedi, Sonipat-496094",Jaipur,1739.94,53815931,Praneel Sekhon,Inactive,dalbirganguly@example.org,912760371239,663082,2023,Qtr 3,July,19,17
"06/035
Rama Zila, Tenali 341605",Navi Mumbai,1413.21,92455970,Bhavna Chada,Inactive,rbakshi@example.org,911600463006,772301,2024,Qtr 2,June,13,10
"06/040, Sarna Nagar, Karawal Nagar-311295",Udupi,828.2,77345018,Bishakha Lanka,Regular,aarnavmenon@example.com,918331784518,407746,2024,Qtr 3,July,26,1
"06/34, Sha Marg, Mango-359050",Saharanpur,454.3,79135318,Amaira Issac,Inactive,zayyankala@example.org,918435512593,317779,2023,Qtr 2,June,14,17
"06/380, Mitra Circle
Jorhat 587416",Kumbakonam,1546.13,28394354,Yatin Mohanty,Regular,nathaniel49@example.net,916198848793,269616,2024,Qtr 1,March,31,19
"06/50, Loke Nagar, Tadepalligudem 421448",Kozhikode,374.96,55286608,Ekaraj Shan,New,psankaran@example.net,915042339924,112691,2024,Qtr 2,April,11,11
"06/508, Dalal Nagar
Jaunpur 214842",Sagar,1306.25,43295656,Wyatt Bhasin,Regular,ppalla@example.org,917864449215,356947,2024,Qtr 1,February,21,4
"06/571
Deshmukh Nagar, Latur-947001",Asansol,894.34,81541985,Panini Padmanabhan,Regular,valagunbir@example.org,915690402175,221829,2023,Qtr 2,April,30,17
"06/807
Roy Marg
Srikakulam-259605",Ambala,1245.07,87954926,Yachana Mahal,Premium,raghavansanaya@example.com,918569329227,181111,2024,Qtr 1,February,7,12
"061
Agrawal Chowk, Bhatpara 564696",Fatehpur,1372.05,72263318,Reyansh Sankar,Inactive,gautamisura@example.org,915641098056,398070,2023,Qtr 2,June,23,8
"061
Kalla Path, Khandwa-739363",Panvel,1564.34,54057428,Chatura Contractor,New,gsachdev@example.org,912895987483,751652,2023,Qtr 4,November,28,13
"061
Tank
Asansol 810831",Dibrugarh,1995.37,29502852,Andrew Vasa,New,aarush91@example.org,918622182317,870715,2024,Qtr 3,August,28,18
"067
Dalal Zila
Sambalpur-237974",Etawah,1123.43,63310076,Chavvi Jani,Regular,dbhandari@example.com,917103735614,334921,2024,Qtr 2,May,15,17
"067, Rao Street
Motihari 908674",Dhanbad,1637.43,1152215,Yachana Pathak,Inactive,chakradevnigam@example.org,912968749008,251590,2024,Qtr 2,May,27,2
"067, Sem Street, Thane-645689",Bharatpur,1686.74,62917794,Chaman Setty,Regular,charlesprabhu@example.org,913908732122,198010,2024,Qtr 1,February,12,16
"069
Patil Road, Tinsukia-750405",Giridih,1428.54,19216141,Teerth Manda,Premium,ksinghal@example.org,912044168429,829446,2023,Qtr 2,May,14,9
"069, Bath Zila
Aurangabad-968050",Kochi,1535.12,47125914,Yashoda Chacko,Premium,ati59@example.com,913099194870,723520,2023,Qtr 1,March,29,16
"069, Prakash Marg, Mira-Bhayandar 031507",Alappuzha,557.81,84848018,Jackson Roy,Regular,janijanaki@example.org,919467722828,275189,2023,Qtr 2,June,26,19
"07, Gopal Ganj
Bhimavaram 958877",Anantapur,292.41,34787383,Ekbal Talwar,Premium,jyotisethi@example.com,914349309978,29302,2024,Qtr 4,October,12,17
"07/185
Agate Zila, Shivpuri 496563",Kanpur,1495.86,50484778,Hiral Saxena,Inactive,kurianatharv@example.com,911901886309,7186,2024,Qtr 2,May,16,2
"07/299, Shenoy Circle
Raipur 072826",Bareilly,1530.19,21784094,Lakshit Rai,Regular,jagdish68@example.com,919072015729,284389,2024,Qtr 2,May,18,17
"07/32
Ghosh Street, Nagercoil 485520",Jaunpur,1290.14,29562254,Devansh Murty,Inactive,niteshdeshpande@example.com,910288856856,853545,2023,Qtr 3,July,19,19
"07/364
Mohan Road, Siwan-953038",Kochi,1290.79,75137446,Oliver Bahl,New,tamanna95@example.net,911106538362,484847,2024,Qtr 1,March,30,10
"07/48, Varughese Road, Phusro 293764",Proddatur,724.81,45166203,Rushil Dass,Regular,borraonveer@example.net,914948263379,350967,2023,Qtr 4,October,26,19
"07/52
Peri Ganj
Adoni-368437",New Delhi,1657.15,24745800,Isaac Mutti,Premium,kantganga@example.net,916331374508,465288,2024,Qtr 1,January,10,3
"07/68
Sibal Path, Haldia 724455",Hubli–Dharwad,1566.5,74694186,Nisha Jhaveri,Inactive,nrout@example.net,915254948647,956627,2024,Qtr 3,September,14,3
"07/725
Warrior Path
Chittoor 204154",Mumbai,282.58,84448310,Ati Lad,Regular,tanmayi18@example.org,910041668650,109591,2024,Qtr 3,September,28,16
"07/818
Bhat Ganj, Bhusawal 661115",Unnao,1488.68,21201299,Ladli Hegde,New,girikprashad@example.org,910398055880,383439,2024,Qtr 2,May,27,19
"07/82
Brahmbhatt Zila, Tumkur-832067",Kanpur,1146.5,94979163,Warda Sarin,New,yloke@example.com,917700918124,98338,2024,Qtr 2,May,14,7
"07/848
Sabharwal Marg
Bokaro 247507",Silchar,1265.19,80269862,Bimala Chad,Premium,chameli76@example.net,917781143289,725705,2024,Qtr 4,October,17,3
"074
Saha Street, Erode-682888",Burhanpur,1110.11,6344345,Shaurya Chhabra,Premium,samarjhaveri@example.net,915052725276,789598,2024,Qtr 4,October,3,19
"075, Pau Path, Kolkata-515895",Bathinda,1161.94,97388817,Yahvi Bala,Regular,vkant@example.org,910641265980,522694,2024,Qtr 2,June,16,1
"079
Goyal Zila, Bhiwani-715658",Jorhat,1641.88,57537308,Ayush Buch,New,morejagdish@example.net,912414404228,779981,2024,Qtr 2,May,18,8
"08
Comar Circle, Secunderabad-809728",Bhind,1071.2,65143359,Zinal Thakkar,Premium,pranavdara@example.net,916329501969,238085,2024,Qtr 1,February,17,14
"08, Dani Chowk, Shimla 913693",Silchar,1024.69,54580166,Jason Pradhan,Regular,lucky87@example.net,910366322098,67494,2023,Qtr 3,August,11,8
"08, Prabhu Path
Haldia 489368",Malda,1017.63,87120918,Wyatt Basak,Inactive,maanav92@example.com,910505377468,526640,2024,Qtr 2,April,12,10
"08/008, Konda, Jalna-179579",Phusro,1629.2,82948843,Nathan Seth,Regular,hamsinipanchal@example.com,912380648068,672485,2023,Qtr 2,May,17,13
"08/07, Seshadri Chowk, Noida 969216",Erode,556.81,61516967,Mohammed Morar,Regular,wreddy@example.net,915164226033,250388,2024,Qtr 1,February,20,9
"08/25
Gokhale Chowk, Dewas 028514",Jabalpur,435.47,52409516,Rehaan Jha,Inactive,ekanshpadmanabhan@example.org,915614108132,502565,2023,Qtr 2,April,23,13
"08/37, Singh Zila
Aizawl-112143",Alwar,1340.79,6390687,Shivansh Dasgupta,Regular,watika26@example.net,911505305250,733851,2024,Qtr 3,August,23,5
"08/524
Toor Path, Imphal 250392",Maheshtala,1512.4,39645619,Indira Jaggi,Regular,falaksunder@example.org,913217797684,740640,2023,Qtr 2,June,17,13
"08/545
Seshadri Nagar, Deoghar 100024",Nandyal,1446.34,62323608,Ekansh Bains,New,bgoyal@example.net,912095116435,537361,2023,Qtr 3,August,9,2
"08/563, Sane Circle, Khora -425505",Panvel,1832.58,6247821,Mekhala Vora,Regular,gardequincy@example.org,917852965877,691869,2023,Qtr 3,July,15,15
"08/613
Grewal
Phagwara-118939",Imphal,919.34,68703613,Praneel Bir,Inactive,hanskashish@example.com,917584484956,939188,2023,Qtr 4,November,26,6
"08/63
Bhatt Path
Khammam-521999",Tenali,1010.11,29902416,Falak Choudhry,Inactive,gautampandit@example.org,919002751510,401415,2023,Qtr 3,July,17,18
"08/794
Jha Circle
Bhavnagar 975604",Gandhinagar,945.82,39150258,Dalaja Choudhury,Inactive,beraprisha@example.com,913078845579,788644,2023,Qtr 2,April,19,17
"08/81
Chandra Path, Mehsana-925891",Raiganj,390.11,41878908,Barkha Kanda,Premium,khuranamason@example.net,911847381123,376225,2024,Qtr 2,May,31,6
"08/885
Bakshi Path, Haldia 541849",Firozabad,557.11,73807097,Manbir Manda,Inactive,zroy@example.org,913944560779,795626,2023,Qtr 4,December,12,7
"084, Arora, Asansol-794979",Bhopal,239.2,33617546,Harrison Edwin,New,kapurtristan@example.org,915693598058,755104,2024,Qtr 3,September,24,12
"086, Mahajan Nagar
Jodhpur-262620",Bikaner,835.06,25747787,Zaid Bobal,Inactive,dubeyekapad@example.org,913577720112,591446,2023,Qtr 2,May,31,13
"088, Sane Marg
Sambalpur 100191",Faridabad,1248.16,42781544,Isaiah Sankar,New,saxenalogan@example.org,918633550027,898529,2023,Qtr 4,December,5,1
"09
Borra, Jehanabad-368313",Jalna,1449.1,52048413,Keya Balakrishnan,Inactive,parikhsamesh@example.org,915166837522,517187,2023,Qtr 4,October,4,20
"09
Mitter Nagar, Mysore-578477",Bally,1832.51,84847500,Teerth Mohanty,Inactive,wbrar@example.org,917613381879,856982,2024,Qtr 3,August,1,9
"09
Sha, Chinsurah 561052",Nadiad,1535.47,30116949,Harshil Pathak,Inactive,janakisaraf@example.com,915552299405,981634,2023,Qtr 3,August,23,5
"09, Dixit Road, Bulandshahr-868361",Bhubaneswar,1814.67,55278329,Nathaniel Mand,Inactive,hmerchant@example.net,911205783276,906383,2024,Qtr 4,October,8,19
"09, Soman Marg, Guna 345092",Hindupur,1449,29562072,Edhitha Ranganathan,New,yashawini55@example.net,914683223867,976259,2023,Qtr 3,August,10,10
"09, Varma
Bareilly-794732",Bijapur,1332.02,22800586,Jacob Lad,New,ramakrishnanchandresh@example.net,916720787687,339864,2024,Qtr 2,June,12,10
"09/073, Rout Marg
Bhilai-211934",Singrauli,1923.64,82374625,Ronith Sami,New,pandeyliam@example.org,910578538175,789283,2023,Qtr 1,March,22,20
"09/099, Oommen Zila
Mumbai 615873",Indore,490.94,93318833,Jagat Sridhar,New,kashvi96@example.org,915679800880,920281,2024,Qtr 1,January,10,19
"09/35, Kar
Jabalpur 573121",Raebareli,1535.01,10700664,Rehaan Tara,Regular,ishere@example.org,917307216422,287997,2024,Qtr 4,October,10,5
"09/37
Gulati Chowk, Kanpur 441894",Panipat,1868.71,4438410,Siya Mittal,Inactive,kdara@example.net,918260180919,368597,2024,Qtr 4,October,17,11
"09/440, Chandra Ganj
Bhalswa Jahangir Pur 958886",Loni,406.21,35133191,Ojasvi Sha,Regular,vrittinanda@example.org,913575822397,791176,2024,Qtr 4,October,22,14
"09/56
Palla Street, Bhatpara-222615",Aurangabad,282,29361038,Idika Gade,New,oscarchaudhari@example.com,913433025314,160138,2023,Qtr 3,August,14,19
"09/64
Shanker Ganj
Bongaigaon-786416",Proddatur,633.41,12851610,Unnati Narayanan,Inactive,indali31@example.net,917687211642,304595,2024,Qtr 3,August,6,14
"09/679, Wali Chowk
Ongole 073167",Madanapalle,872.26,31776996,Bhavya Shankar,New,bavakai@example.com,918135472883,643542,2024,Qtr 2,April,13,12
"09/68, Brahmbhatt Nagar
Davanagere-527950",Kamarhati,1726.51,86704661,Kamala Chokshi,Premium,turvidas@example.net,911010266095,812273,2024,Qtr 1,March,16,12
"09/73
Bath Street
Parbhani-673476",Bidhannagar,485.78,2136830,Bhavya Goswami,New,saxenamadhavi@example.net,916953143954,598513,2023,Qtr 3,September,19,4
"09/765, Sachdev Path
Gaya-127934",Jammu,1105.84,6959437,Rushil Prakash,Premium,anika85@example.net,917279839419,293835,2024,Qtr 3,July,25,14
"09/92
Oak Circle, Nandyal 041635",Amaravati,589.31,1601161,Chanchal Thakur,Inactive,faras36@example.com,911872985129,562508,2024,Qtr 2,May,24,1
"091, Ahuja Circle
Mysore-186449",Kharagpur,582.01,95590889,Janani Purohit,Inactive,atharvgaba@example.net,910102737756,916972,2023,Qtr 2,June,23,7
"092, Chowdhury Path, Srinagar-492392",Patiala,586.96,67708491,Dalbir Kata,Inactive,triyaswamy@example.com,916516137557,872616,2024,Qtr 4,October,12,10
"092, Narain Street, Kolhapur-916800",Tadepalligudem,807.66,45071436,Gaurang Ratta,Inactive,shethbhavini@example.org,911932819615,311644,2024,Qtr 4,October,11,9
"094
Kala Zila, Tiruchirappalli-999978",Noida,1756.08,63292875,Guneet Borah,Premium,dev66@example.org,919335183633,980046,2024,Qtr 3,September,30,18
"098, Chana Nagar, Solapur-107630",Raurkela Industrial Township,996.94,52617081,Max Mander,Inactive,nitesh99@example.net,918584243357,785466,2024,Qtr 3,July,31,10
"098, Dhawan Chowk, Dhanbad-430781",Jhansi,586.75,31582950,Bhavya Khalsa,New,advaithtata@example.com,914142910319,945972,2023,Qtr 4,December,20,13
"10
Mander Nagar
Bhiwandi-083761",Belgaum,1706.89,34839913,Gaurika Dayal,Regular,vyanjana32@example.net,918422408574,552859,2024,Qtr 3,August,12,4
